id,submittedVideoUrl,video_id,creator,caption,hashtags,cultural_theme,views,likes,comments,shares,upload_date,platform,notes
tiktok_7057342212685712687,https://www.tiktok.com/@katchaomeow/video/7057342212685712687,7057342212685712687,@katchaomeow,I was on the move all day 😮‍💨 #weightlosstips #pcos @bloomnu #pcosweightloss #fypシ #weightlossjourney #healthyrecipes #healthylifestyle,"#weightlosstips, #pcos, #pcosweightloss, #fypシ, #weightlossjourney, #healthyrecipes, #healthylifestyle",High Protein (General),"21,000.00",905,40,19,2022-01-26,TikTok,"Advertises as a high-protein day during a busy workday, shows different foods with each food item listed on-screen, with snacks."
tiktok_7608998986510306574,https://www.tiktok.com/@yse/video/7608998986510306574,7608998986510306574,@yse,"Next time you’re craving something sweet during a cut… try my favorite high protein dessert. High Protein. Low Effort. If you’re ready to take your fitness journey seriously, checkout the link in my bio.",,Protein Dessert (Guilt-Free),"6,000,000.00",342000,1236,6526,2026-02-20,TikTok,"Shows a healthy alternative for when someone is craving something sweet. Slower-paced, more personal, longer video, easy-to-follow recipe while staying realistic."
tiktok_7368182049481641262,https://www.tiktok.com/@smoothieflip/video/7368182049481641262,7368182049481641262,@smoothieflip,Yuuuuuuuhm 😩 crafted w/ @PBfit! #fyp #easy #snack #pbfit #peanutbutter #pbfitpartner,"#fyp, #easy, #snack, #pbfit, #peanutbutter, #pbfitpartner",High Protein (General),"8,900,000.00",640000,1729,21300,2024-05-12,TikTok,"Shows an easy recipe that the creator seems to enjoy, ad-supported content. Slower-paced"
tiktok_7613943025475128589,https://www.tiktok.com/@toridunaway/video/7613943025475128589,7613943025475128589,@toridunaway,"What I eat in a day focusing on high protein meals + snacks 🤍 Just easy foods I actually like that make hitting my protein goal way less stressful!! When you build simple meals and add intentional snacks, consistency gets a lot easier! More of my go-to recipes are in my cookbook - linked in my bio✨ I also used my favorite clear protein from @1UpNutrition — you can use code TORIFIT for 20% off if you want to try it 🤍 #CapCut",#capcut,Routine Performance (WIEIAD),"466,000.00",20000,99,651,2026-03-06,TikTok,"Shows meals that the creator has in a day, with prep for each meal and macros, seems a bit more realstic because she shows meals that have been prepped/leftovers and more mention of drinks."
tiktok_7611409143039118606,https://www.tiktok.com/@mattsmethod/video/7611409143039118606,7611409143039118606,@mattsmethod,"Save these meals 👇 Meal 1 (Breakfast): - Daily supplements (Vitamin D3 & K2, Ashwagandha, Magnesium, CoQ10, Men’s Multi) - L-Glutamine + Creatine + Water - 230g egg whites + 2 whole eggs (make omelette) Meal 2 (Lunch 1): - 180g white rice - 7 oz ground turkey OR 7 oz sautéed shrimp - sriracha sauce Meal 3 (Lunch 2) - 7 oz chicken breast - 150g cucumber OR bell pepper Meal 4 (Pre Workout) - 2 rice cakes (any flavor) - 1 scoop whey isolate drip (not shown) Meal 5 (Dinner): - 8 oz 93/7 ground beef - 250g sweet potatoes TOTALS 👉 1670 calories 126g carbs / 35g fat / 208g protein",,Fitness Culture (Pre-Workout),"208,000.00",13000,67,718,2026-02-27,TikTok,"Day in the life of a fitness influencer, voice-over with each meal and snack and supplement the creator eats, very short though"
tiktok_7338087158311308587,https://www.tiktok.com/@adam_frater/video/7338087158311308587,7338087158311308587,@adam_frater,"What I eat in a day (Ep. 2) ✅ Fuel for my training and lifestyle ✅ High Energy Diet ✅ Anti-inflammatory ✅ High T always 📈 💧 Water with Electrolytes⚡ (Pre-Workout) 💪 Workout (Challenge yourself) 🥚 4 Eggs, Butternut Squash & 🥑 (High protein breakfast) 💻 Work (Breakup periods of stagnation) 🐟 Tuna Poke, 🥑 & Cucumber (High protein, low carb lunch) 📞 More Work (If you're reading this , get out of your chair!) 🌇 Sunset + Movement (Not a workout. Just move a little) 🦪 Oysters (Hors d'oeuvre) 🥩🇧🇷 Picanha, Rice & Onions (A well deserved dinner) AND I CAN'T WAIT TO DO IT AGAIN TOMORROW AND EVERY DAY 😎 #healthylifestyle #healthyeating #healthyfood #eatclean #highprotein #getshredded #shredded #6pack #abs #absaremadeinthekitchen #menshealth #mensfitness #mensphysique #carnivore #bodygoals #gains #nutritiontips #healthydiet","#healthylifestyle, #healthyeating, #healthyfood, #eatclean, #highprotein, #getshredded, #shredded, #6pack, #abs, #absaremadeinthekitchen, #menshealth, #mensfitness, #mensphysique, #carnivore, #bodygoals, #gains, #nutritiontips, #healthydiet",Routine Performance (WIEIAD),"393,000.00",8000,71,280,2024-02-21,TikTok,"Shows each meal, with eggs for breakfast, tuna poke with avo and cucumber, oysters, and picanha, very meat-heavy, seems more aesthetic than realistic because the creator is also very focused on presentation"
tiktok_7610849791743986946,https://www.tiktok.com/@fitfoodieselma/video/7610849791743986946,7610849791743986946,@fitfoodieselma,"Brownie Protein Balls😍 These contain about 18g protein per ball. These are super fudgy and they really taste like brownie batter! • More healthy & easy recipes like this in my new Ebook: Healthy Food Made Easy which has 85 low-effort recipes: breakfasts, lunches, snacks, dinners & desserts🤩 The link is in my profile or go to fitfoodieselma.com🥰 • ingredients for 6 balls: 3/4 cup chocolate protein powder (180 ml / 90 g / 3 scoops) 3/4 cup almond flour (180 ml) 1/4 cup unsweetened cacao powder (60 ml) 1/4 cup maple syrup (60 ml) 1/4 cup unsweetened peanut butter (60 ml) 1 - 3 tablespoons milk of choice • toppings: 1.7 oz. / 50 g 80% dark chocolate 1 teaspoon coconut oil Flaky sea salt • 1. Mix all the ingredients together. Because protein powders absorb liquid differently depending on brand, you may not need the full 3 tablespoons of milk. Add slowly until the dough holds together and it’s not sticky 2. Roll into balls 3. Let set in the freezer for 30 minutes 4. Melt the chocolate in the microwave with the coconut oil 5. Dip the bites in the chocolate and top with flaky sea salt 6. Chill in the fridge until the chocolate is set 7. Store in an air tight container in the fridge or freezer • • • #proteinballs #brownieballs #snackidea #highprotein #snackideas","#proteinballs, #brownieballs, #snackidea, #highprotein, #snackideas",High Protein (General),"1,100,000.00",82000,166,9682,2026-02-25,TikTok,"Slower-paced, more aesthetic, recipe in the caption, doesn't show creator so feels less personal"
tiktok_7605423390538698015,https://www.tiktok.com/@jackkknormannn/video/7605423390538698015,7605423390538698015,@jackkknormannn,what I eat in a day to stay in the best shape of my life!! #healthylifestyle #food #whatieatinaday #runner #vlog,"#healthylifestyle, #food, #whatieatinaday, #runner, #vlog",Routine Performance (WIEIAD),"204,000.00",15000,64,276,2026-02-11,TikTok,"Shows each meal that the creator eats, part of the prep for each meal, and the macros as well. "
tiktok_7524889683441110302,https://www.tiktok.com/@arianballate/video/7524889683441110302,7524889683441110302,@arianballate,"This is my consistent Monday–Friday meal plan. I typically consume around 2,200–2,400 calories per day and burn approximately 2,600–2,700. I occasionally substitute chicken with salmon, ground beef, or steak, but I usually stick with chicken since it’s leaner and higher in protein. On heavy lifting days, I may slightly increase my carb intake—mainly by adding more broccoli or potatoes—but I generally keep it around 100 grams. As for protein, I aim for about 1.5 grams per pound of body weight. I currently weigh 175 lbs, so I make sure to eat at least 250 grams of protein daily, often closer to 300g. #whatieatinaday #diet #fulldayofeatinginadeficit #highprotein #fyp","#whatieatinaday, #diet, #fulldayofeatinginadeficit, #highprotein, #fyp",High Protein (General),"294,000.00",6000,58,253,2025-07-09,TikTok,"Shows each meal and snack that the creator eats/drinks, with macros during a busy workday."
tiktok_7456987716752936238,https://www.tiktok.com/@smallersam_pcos/video/7456987716752936238,7456987716752936238,@smallersam_pcos,What I eat in a day❤️ -250lbs {high protein} #whatieatinaday #wieiad #protein #real #easy #easyrecipe #recipe #breakfast #lunch #cereal #mom #balance #healthy #happy #pcos #beforeandafter,"#whatieatinaday, #wieiad, #protein, #real, #easy, #easyrecipe, #recipe, #breakfast, #lunch, #cereal, #mom, #balance, #healthy, #happy, #pcos, #beforeandafter",Routine Performance (WIEIAD),"702,000.00",49000,427,1040,2025-01-07,TikTok,"Very liquid heavy, shows each meal and drink that the creator has with prep times, unique recipes that I haven't seen before, with macros."
tiktok_7604930747517996302,https://www.tiktok.com/@hunt4shredz/video/7604930747517996302,7604930747517996302,@hunt4shredz,"✅Save this recipe for your next high protein bowl meal prep or dinner 🔥⬇️ If you liked my taco bowl, you NEED to try this one… crispy golden potatoes, juicy seasoned beef, creamy guac, fresh pico, and a smoky-bright chipotle roasted red pepper sauce that takes it over the top. Perfect for meal prep or dinner tonight. 📕High protein cookbook is in the 🔗 in my bio! :) (4 servings) ⸻ ✅ Ingredients: Potatoes 600g (about 4 medium) russet potatoes, cubed 1 tsp garlic powder 1 tsp smoked paprika Salt & pepper to taste Olive oil spray Beef 1½ lb (680g) lean ground beef (93/7 or leaner) 1 small onion, diced 1 packet (28g) low-sodium taco seasoning (or homemade) ¼ cup (60ml) beef bone broth Toppings ½ cup fresh guacamole ½ cup pico de gallo Pickled jalapeños (optional) Fiesta Sauce ll ½ cup (113g) non-fat Greek yogurt 1 chipotle pepper in adobo + 1 tsp adobo sauce ½ roasted red bell pepper (or 2 jarred pieces) 1–2 tbsp lime juice ½ tsp honey (or agave) Handful fresh cilantro Pinch of salt 👉🏻Blend until smooth and bright ⚡ Macros per serving: Calories: 530 Protein: 46g Carbs: 42g Fat: 17g Save this recipe & tag me when you try it 👏🏻 #highprotein #mealprep #weightlossmeals #proteinrecipes #bulkingmeals shredzfam healthydinnerideas fitnessfood macrofriendly","#highprotein, #mealprep, #weightlossmeals, #proteinrecipes, #bulkingmeals",Routine Performance (Meal Prep),"4,000,000.00",200000,377,34500,2026-02-09,TikTok,"High protein bowl meal prep featuring potatoes and ground beef. Includes full recipe with ingredients, measurements, and macro breakdown in the caption. Promotes a high protein cookbook."
tiktok_7542581293289049366,https://www.tiktok.com/@billygloverr/video/7542581293289049366,7542581293289049366,@billygloverr,Food is fuel. Lock in #foodtok #flavour #healthyeating,"#foodtok, #flavour, #healthyeating",Food as Fuel/Optimization,"1,200,000.00",59000,1404,4634,2025-08-25,TikTok,"Shows a recipe being made, with a caption saying ""I eat to live, you live to eat"", meant for engagement and discussion in the comments."
tiktok_7190549760154012970,https://www.tiktok.com/@clairethenutritionist/video/7190549760154012970,7190549760154012970,@clairethenutritionist,Here’s the real reason why it matters WHAT we eat 🥗 #nourishyourself #letfoodbethymedicine #nutritiontips #nutritioneducation #micronutrients #macronutrients #nutritionistsoftiktok,"#nourishyourself, #letfoodbethymedicine, #nutritiontips, #nutritioneducation, #micronutrients, #macronutrients, #nutritionistsoftiktok",High Protein (General),"180,000.00",7000,100,684,2023-01-20,TikTok,"Educational content from a nutritionist, explains the importance of food quality, micronutrients, and macronutrients. Uses a ""let food be thy medicine"" approach to nutrition education."
tiktok_7610406844007206166,https://www.tiktok.com/@balancewithnu/video/7610406844007206166,7610406844007206166,@balancewithnu,"Recipe Below 👇 High protein pizza bowl meal prep 🍕 Ingredients for ONE serving: - 1/2 cup blended cottage cheese (or Greek yogurt) - 1/3 cup self raising flour (I used gluten free flour and baking powder) - 3 tbsp Tomato/pizza sauce - 100g (raw weight)/ half a cup Lean minced turkey (seasoned with Italian seasoning, garlic powder, onion powder, etc) - Bell peppers - Onion - Turkey Pepperoni Grease your container with low cal spray oil. Mix the flour and blended cottage cheese until it form a dough. Press into the container to create a base Top with sauce, toppings, cheese, and Turkey pepperoni. Bake for 20 mins at 400f/200c Enjoy!!! This is perfect for meal prep as well!! Estimated Macros: Calories: 550 Protein: 40g If you want a tasty meal prep that is high in protein and under 600 calories then this is a perfect meal for you!! When I tell you this meal is so filling! It fills you up for hours and with such great macros! This is a must try meal prep that actually tastes so delicious! It’s incredibly easy to make as well. All the veggies are raw and the only thing I cooked on the pan was the turkey mince. #mealprep #mealprepideas #healthymealprep #highproteinmeals #caloriedeficitdiet","#mealprep, #mealprepideas, #healthymealprep, #highproteinmeals, #caloriedeficitdiet",Routine Performance (Meal Prep),"570,000.00",31000,81,7998,2026-02-24,TikTok,"High-protein pizza bowl meal prep using cottage cheese and turkey. Easy-to-follow recipe provided in the caption, including a macro breakdown of 40g protein and 550 calories. Targeted toward meal prep and calorie deficits."
tiktok_7537797065460567310,https://www.tiktok.com/@formerfatguyfitness/video/7537797065460567310,7537797065460567310,@formerfatguyfitness,The Bloat Bowl - my new favorite pre workout meal. Shout out to @Charlotte Schaech | IFBB Pro for showing me this one🫡 #formerfatguy #highprotein #fitness #recipe #proteinpowder,"#formerfatguy, #highprotein, #fitness, #recipe, #proteinpowder",Fitness Culture (Pre-Workout),"821,000.00",32000,368,1843,2025-08-12,TikTok,"Fitness influencer content, showcases a high-protein pre-workout recipe called the Bloat Bowl inspired by an IFBB Pro. Focuses on performance nutrition and fitness culture."
tiktok_7270578232246717739,https://www.tiktok.com/@stephgrassodietitian/video/7270578232246717739,7270578232246717739,@stephgrassodietitian,How I established a healthy relationship with food. Why restrict your favorite foods when you can just add more nutrients?! Best of both worlds 🫶🏼 #dietitian #nutrition #healthyrelationshipwithfood #add #macncheese #healthtips,"#dietitian, #nutrition, #healthyrelationshipwithfood, #add, #macncheese, #healthtips",High Protein (General),"12,300,000.00",1300000,7580,69800,2023-08-23,TikTok,Educational content from a dietitian promoting a healthy relationship with food. Advocates for adding nutrients to favorite dishes like mac and cheese rather than restricting them.
