id,submittedVideoUrl,video_id,creator,caption,hashtags,cultural_theme,views,likes,comments,shares,upload_date,platform,notes
tiktok_7529286845151186183,https://www.tiktok.com/@scott_vriens/video/7529286845151186183,7529286845151186183,@scott_vriens,"That time of the week again 🙂‍↕️👨🏼‍🍳 Another batch of easy, no fuss meals prepped and ready to go. No overthinking, no boring repeats, just 4 days of high protein meals that actually taste good and hold up whether you eat them hot or cold. Ingredients and breakdown below ⬇️ 🍎 Apple Pie Overnight Oats (1 serve) - 100g oats - 1 Tbsp chia seeds - 1 scoop of vanilla ice cream Oxywhey protein powder - 1 tsp cinnamon - 300g milk - Handful of chopped walnuts - Drizzle of sugar free caramel sauce Mexican Fajita Bowls (4 serves) - 1.2kg chicken breast (raw weight) - 2 sachets of @Mingle Seasoning Mexican Fajita seasoning - 1 lime (juice) - 1.5 cups or 300g of white rice (uncooked weight) - 1 red pepper - 1 yellow pepper - 1 green pepper - 1 red onion - 1 tin black beans - Coriander (to serve) 🥙 Beef Gyros Bowls (4 serves) - 1kg beef steak (stir fry style) - Generous sprinkle of @mingleseasoning garlic and herb seasoning - 1.5 cups or 300g of white rice (uncooked weight) - 1 cucumber - 1 pack of cherry tomatoes - 1 red onion - 100g greek yoghurt - 2 garlic cloves 🍫 Chocolate Mousse (per serve) - 200g Natural Unsweetened Greek Yoghurt - 1 scoop chocolate decadence Isopept protein powder - 1 Tbsp cocoa powder - 2 Tbsp maple syrup - Dark Chocolate + plenty of assorted snacks throughout the day that don’t need much prep - lots of fresh fruit, nuts, eggs and electrolytes 🍉🥜🍳🧂 #weeklymealprep #highprotein #fitnessmotivation #healthyfood","#weeklymealprep, #highprotein, #fitnessmotivation, #healthyfood",Protein-Enhanced Breakfast,"3,800,000.00",189000,628,14800,2025-07-20,TikTok,"Shows a meal prep for the week, with minimal prep shown, very edited but easy-to-understand recipes."
tiktok_7551525469217246519,https://www.tiktok.com/@arsalaansfit/video/7551525469217246519,7551525469217246519,@arsalaansfit,You don’t need as much protein as you think! #fyp #foryoupage #gymtok,"#fyp, #foryoupage, #gymtok",High Protein (General),"2,000,000.00",228000,4934,30100,2025-09-18,TikTok,"Talks about how creators emphasize high-protein intake, but this may not be true, helping with people who feel like they're not getting enough protein and are eating more to make up for it."
tiktok_7524528787007065375,https://www.tiktok.com/@laraluvzcats/video/7524528787007065375,7524528787007065375,@laraluvzcats,how am i supposed to finish this 💔 #viral #funny #highprotein #cookiedough #trending #fyp #parati #nasty #addisonrae,"#viral, #funny, #highprotein, #cookiedough, #trending, #fyp, #parati, #nasty, #addisonrae",High Protein (General),"57,000.00",6000,71,20,2025-07-08,TikTok,"Creator tries a popular high-protein recipe that she likely saw online, but talks about how bad it tastes"
tiktok_6928889291783326977,https://www.tiktok.com/@noeldeyzel_bodybuilder/video/6928889291783326977,6928889291783326977,@noeldeyzel_bodybuilder,I sometimes enjoy food as a post workout too!💪🏼 #fitness #workout #weightlifting #bodybuildier,"#fitness, #workout, #weightlifting, #bodybuildier",Fitness Culture (Post-Workout),"778,000.00",84000,595,754,2021-02-13,TikTok,"Bodybuilder that shows what he eats post-workout, talking about what's easy to eat and make, explaining his reasoning behind his decisions"
tiktok_7616468860237139214,https://www.tiktok.com/@fuelingwithfrankie/video/7616468860237139214,7616468860237139214,@fuelingwithfrankie,do you think protein wants to be in all these things?? #protein #highprotein #proteinicecream #proteinsnacks #nutrition,"#protein, #highprotein, #proteinicecream, #proteinsnacks, #nutrition",High Protein (General),"485,000.00",88000,1033,11900,2026-03-12,TikTok,"Shows a grocery store with a lot of food products advertised as having lots of protein, with a caption saying ""this generation's protein obsession is getting out of hand."""
tiktok_7565290571858808095,https://www.tiktok.com/@powerattheplate/video/7565290571858808095,7565290571858808095,@powerattheplate,Pasta sauce does not need 80 grams of protein,,High Protein (General),"403,000.00",30000,2490,842,2025-10-25,TikTok,"Creator at the grocery store, showing how even pasta sauce has protein advertised in it, with an on-screen caption saying ""can we please stop protein-ifying everything"""
tiktok_7605371407945469197,https://www.tiktok.com/@jaharibeyapping/video/7605371407945469197,7605371407945469197,@jaharibeyapping,#fyp #trending #fyppppppppppppppppppppppp #protein,"#fyp, #trending, #fyppppppppppppppppppppppp, #protein",High Protein (General),"227,000.00",24000,1685,2283,2026-02-10,TikTok,"Creator humourously talking about how protein is in everything nowadays, even cookies, coffee, refreshers, telling people to look out because it may be seen as suspicious."
tiktok_7475493570066042117,https://www.tiktok.com/@theicedcoffeehour/video/7475493570066042117,7475493570066042117,@theicedcoffeehour,Diet Is More Important Than Working Out 🥦 #diet #workingout #healthylifestyle,"#diet, #workingout, #healthylifestyle",High Protein (General),"395,000.00",25000,194,1303,2025-02-25,TikTok,Podcast clip discussing the importance of diet over exercise for a healthy lifestyle. Educational content likely featuring a guest sharing health and nutrition insights.
tiktok_7620436585099660558,https://www.tiktok.com/@jakie.f/video/7620436585099660558,7620436585099660558,@jakie.f,What I get to eat in a day yayy! Hope everyone’s start to the week is amazing 🫰#wieiad #gymtok #highproteinmeals #FIBER,"#wieiad, #gymtok, #highproteinmeals, #fiber",Routine Performance (WIEIAD),665.00,126,12,0,2026-03-23,TikTok,"More personal, the creator talks a lot about what she eats and drinks, which makes it more personal because she talks about why it's important and not just the macros (context matters here). Less popular in terms of engagement but it's more intentional."
tiktok_7527057998057901343,https://www.tiktok.com/@scotty.k.fitness/video/7527057998057901343,7527057998057901343,@scotty.k.fitness,Protein Latte ☕️ #proffee #coffee #coffeetiktok #protein #girly #best #win,"#proffee, #coffee, #coffeetiktok, #protein, #girly, #best, #win",Protein-Enhanced Coffee,"1,500,000.00",195000,2348,13500,2025-07-14,TikTok,"Influencer content, comedic way of making protein coffee using a more intentional method, with coffee beans and an expensive espresso machine. Mixes Ryse protein, milk with the coffee."
tiktok_7568337989638556941,https://www.tiktok.com/@theplantslant/video/7568337989638556941,7568337989638556941,@theplantslant,Yes protein is important…. But maybe let’s all calm down a bit @Barebells USA #protein,#protein,High Protein (General),"757,000.00",73000,1175,2340,2025-11-03,TikTok,"Creator talks about how protein is getting out of hand, with protein ""slapped on the label"". Highlights how there's protein soda, protein seasoning, and how it can even taste worse. Highlights how it's ""over the top and unnecessary"", and talks about how it's more important to focus on fiber"
tiktok_7575359080915569928,https://www.tiktok.com/@eth.ayc/video/7575359080915569928,7575359080915569928,@eth.ayc,The things we do to stay lean year round #yogurt #lean #fyp #trending #nutrition,"#yogurt, #lean, #fyp, #trending, #nutrition",High Protein (General),"3,200,000.00",497000,8350,50600,2025-11-22,TikTok,"Shows a creator that makes a popular recipe with greek yogurt, highlights its health qualities but also says it tastes disgusting, which is a popular opinion when you eat a lot of greek yogurt"
