creator,video_title,link,upload_date,period,food_type,portion_size,views,likes,comments,food_quantity,calories
Nikocado Avocado,Watch Me Eat Bugs • MUKBANG,https://www.youtube.com/watch?v=od4jj24fkvY,2017-06-21,early,mixed/unknown,extreme,185094,3290,960,,
Nikocado Avocado,Massive Indian Food Buffet • All You Can Eat • MUKBANG,https://www.youtube.com/watch?v=UqBWwy31uIU,2017-06-17,early,mixed/unknown,super extreme,278548,4344,1479,,
Nikocado Avocado,Korean Beef Ramen Noodles With My Sloth • MUKBANG,https://www.youtube.com/watch?v=hmySoBnqYCU,2017-06-16,early,ramen/noodles,extreme,135617,2119,476,,
Nikocado Avocado,World's Largest Ice Cream Sundae Challenge • MUKBANG,https://www.youtube.com/watch?v=t9px3rWfw3g,2017-06-16,early,mixed/unknown,extreme,858212,11915,3623,,
Nikocado Avocado,100 Dumplings Challenge • All You Can Eat Buffet • MUKBANG,https://www.youtube.com/watch?v=DctUmUMlEpg,2017-06-13,early,mixed/unknown,extreme,945443,10227,5248,,
Nikocado Avocado,Durian & Mangosteen • MUKBANG,https://www.youtube.com/watch?v=Fc82N3ebVXc,2017-06-13,early,mixed/unknown,extreme,243884,3626,862,,
Nikocado Avocado,"Thai Food • Pork, Dumplings, & Noodles • MUKBANG",https://www.youtube.com/watch?v=Qs6xaR8Yzkk,2017-06-12,early,ramen/noodles,extreme,282429,4621,875,,
Nikocado Avocado,Durian • MUKBANG,https://www.youtube.com/watch?v=e8a9lctdkxE,2017-06-09,early,mixed/unknown,extreme,839881,7009,1337,,
Nikocado Avocado,Japanese Udon Noodles • Eating In Tokyo 東京日本 • MUKBANG,https://www.youtube.com/watch?v=G6crZi014e0,2017-06-08,early,ramen/noodles,extreme,129810,2421,577,,
Nikocado Avocado,My Last Video • Eating Sushi & Saying Goodbye • MUKBANG,https://www.youtube.com/watch?v=fYDrzW6sxhw,2017-06-05,early,mixed/unknown,extreme,229876,3566,872,,
Nikocado Avocado,"25,000 Calorie Challenge (Completed) • MUKBANG",https://www.youtube.com/watch?v=Xr4uJOMyHM4,2017-06-04,early,mixed/unknown,super extreme,1560327,20004,2420,000 calorie challenge (completed) • mukbang watch me eat 25; 000 calories,25000
Nikocado Avocado,Korean Kimchi Ramen Noodles With My Sloth • MUKBANG,https://www.youtube.com/watch?v=kGu9bJ5O_-4,2017-06-02,early,ramen/noodles,extreme,1878927,22418,10090,,
Nikocado Avocado,CHEESE STUFFED LOADED DORITOS • Mukbang & Recipe,https://www.youtube.com/watch?v=rH24F-bltSo,2017-06-01,early,mixed/unknown,extreme,316037,4723,831,,
Nikocado Avocado,EXTREMELY CHEESY SUPER SPICY FIRE RAMEN NOODLES • Mukbang & Recipe,https://www.youtube.com/watch?v=vytrCSYXi5w,2017-06-01,early,ramen/noodles,large,8151000,64068,21472,000 calories of cheese & butter,3000
Nikocado Avocado,"INTRODUCING MY PET BABY SLOTH (Yes, She's Real)",https://www.youtube.com/watch?v=Hy7Wh7LIfT8,2017-05-31,early,mixed/unknown,unknown,324561,7029,1008,,
