User Ethnicity,Food Shown,Tags Used,Likes,Favorites,Shares,Top Comment,Link
White,Western,#foodtour #food #trending #fyp #streetfood ,1.1M,47.9K,393.5K,"""@Saw Nwe Ni Htoo ✨: [Sticker]""",https://www.tiktok.com/@foodhello00/video/7604787989130087693?is_from_webapp=1&sender_device=pc
Korean,Non-Specific (Sausages),#mukbang #asmr #tiktokfood #fyp ,390.4K,26.7K,16.3K,"""@🤍_A s h o o_🤍: Me during ramadan 🥺🥺🥺""",https://www.tiktok.com/@stoney_choi/video/7605161793777962260?is_from_webapp=1&sender_device=pc
N/A,Non-Specific,#healthyfood #eatclean #fy #viral #foodtok ,103.9K,16.1K,4107,"""@🌺: Remind me to drink water""",https://www.tiktok.com/@lolaa.mts/video/7592963725519277344?is_from_webapp=1&sender_device=pc
Black,Western,#easyrecipeideas #easyrecipe #belgica #quickeasymeals #easyrecipes,230K,49.9K,12.5K,"""@lulo_Maq: results may vary 🤣""",https://www.tiktok.com/@iamsarah_sarah/video/7614568624233123086?is_from_webapp=1&sender_device=pc
Black,Western,#paris #foodreview #mukbang #foodtiktok,679.5K,66K,69.2K,"""@Joshy💰: They sell these at Costco ifykyk 👀""",https://www.tiktok.com/@lifeofcian/video/7619794258756750622?is_from_webapp=1&sender_device=pc
White,Mexican,N/A,249.6K,91K,21.8K,"""@Terryl Nestmann: Chia pudding make some so mad because it looks like it should be sooo good but I can’t get over the gooey texture""",https://www.tiktok.com/@choosingchia/video/7593090720253168917?is_from_webapp=1&sender_device=pc
White,Mexican & Japanese (mix),#sushiburrito #sushi #fyp #crunchy #friedsushi #asmr #mukbang #asmrmukbang #tiktokfoodie #foodie #crunch ,1.9M,83.1K,206K,"""@typestuff____: This shit pisses me off""",https://www.tiktok.com/@eatwbrooke/video/7610558893244042526?is_from_webapp=1&sender_device=pc
White,Western,#fyp #foryoupage #food #cooking #foodasmr,124.3K,11.9K,3120,"""@God: G for garlic bread, ""makes lasagna""""",https://www.tiktok.com/@louis.gantus/video/7610889607672024350?is_from_webapp=1&sender_device=pc
Asian (Unspecified),Western,#butterchicken #butterchickencurry #butterchickenrecipe ,828.6K,36.8K,97.9K,"""@lacuna: i wish i had a free pot of butterchickennnnnuhh""",https://www.tiktok.com/@isabelmclurkin/video/7596863722484763917?is_from_webapp=1&sender_device=pc
N/A,Western,#chicken #alfredopasta #pasta #recipe #food ,941.2K,218K,199.7K,"""@Terco Beats: ingredientes??""",https://www.tiktok.com/@_nada_dl/video/7600411842388692246?is_from_webapp=1&sender_device=pc
Asian (Unspecified),Thai,#nightmarket #foodmarket #bangkok #thailand #streetfood,1.1M,57.6K,33.5K,"""@boty: Jumping shrimp is totally tourist trap like no way the locals eat that 😭""",https://www.tiktok.com/@biteswithlily/video/7598108209903127829?is_from_webapp=1&sender_device=pc
White,Louisiana Creole,#cajunorzo #chickenorzo #mealprepideas #mealprep #healthyrecipes ,139.7K,59.9K,12K,"""@Darian: Calories: ~620–650 kcal Protein: ~45–50 g Carbohydrates: ~65–70 g Fat: ~15–18 g Rough estimate""",https://www.tiktok.com/@becky_bfit/video/7592705897516846358?is_from_webapp=1&sender_device=pc
