Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
Fatma Nur Kılıç,https://www.tiktok.com/@kilic_story/video/7454212655746747670,19200000,627800,6685,83500,33700,Squid Game',Round and Round Mingle Song Squid Game 2,Squid Game Cookies 🟥🔺🔴 Zutaten:  200g Zucker  1/2 TL Backpulver  ,faceless,english,video,#squidgame #squidgames #foodtrend #foodie #squidgame2 ,,indian,3,,,#asmreating,3,,,,,it’s,29
Archersfood.com🍯FREE recipes,https://www.tiktok.com/@archersfood/video/7468374665942027542,19200000,1500000,3799,418800,324900,No bake Nutella cheesecake',Sixty Second Commercial 1 by Michael Reynolds,No bake Nutella cheesecake 🎞️ recipe in our website! archersfood.com ✨🎀 ,faceless,english,video,#nutella #nutellacheesecake #nobakecheesecake #foodtok #baking ,,jacket,3,,,#asmrfood,3,,,,,made,29
Bernard,https://www.tiktok.com/@bernardh14/video/7386393676328521003,19100000,537800,7960,32800,45900,Best fryer on the planet,original sound,Outdood monster fryer ‼️‼️ ,face,english,video,#foryou #fypシ゚viral #explorepage #viral #foryoupage #foodchallenge #explorepage✨ #foodphotography #foodie #chef #brunch #foodtiktok #cheflife #tiktok #explore #foodnetwork #brunchtok #fypage #explorepage✨ #foodcritic #fypage #asmr,,kid,3,,,#baker,3,,,,,minutes.,29
Maddy,https://www.tiktok.com/@nourished.by.mads/video/7431392948010421535,18900000,1100000,2357,299100,112200,Teriyaki Chicken Bowl',original sound,Teriyaki Chicken Bowl 🍗  ,faceless,english,video,#highprotein #highproteinmeals #chicken #teriyakichicken #chickenbowl #healthy #healthyfood,,kinder,3,,,#bakingtherapy,3,,,,,bowl,28
Naterbean,https://www.tiktok.com/@naterbean/video/7325240552658717998,18800000,987800,3052,232200,32500,One pan',original sound,1 pan meal 🤌🏼🔥 - - ,faceless,english,video,#easydinner #simplerecipe #simpledinner #onepanmeal #foodie #dinnerideas #fyp #foryou,,lemon,3,,,#banana,3,,,,,dough,28
Juliette,https://www.tiktok.com/@itsmeju1iette/video/7441725945561599263,18700000,1500000,14600,104500,497400,My dream birthday cake 🍒✨',som original,sexiest cake ive seen. 🥒  ,faceless,english,video, #trending #pickles,,let's,3,,,#bentocake,3,,,,,our,28
The Princess Daily Life,https://www.tiktok.com/@ppchicc/video/7395545126489181483,18600000,953600,2243,69000,33500,Make frozen yogurt with me',original sound,Yougourt  ,faceless,english,video,#asmr #asmrsounds #satisfying #satisfyingvideo #trending,,lunch',3,,,#breakfastidea,3,,,,,these,28
jello,https://www.tiktok.com/@jello/video/7042436992763694382,18600000,67800,269,3858,6290,Hot Cocoa Pudding Cups - You can’t mess this up! Makes 12 espresso cups!',original sound,Santa. Standup guy who def needs to work on his standup. ,faceless,english,video,#northpole #holidaycountdown #christmasrecipe #christmastok,,made,3,,,#brownie,3,,,,,lemon,27
May’s Kawaii Kitchen,https://www.tiktok.com/@may.kawaiikitchen/video/7278743812128935214,18100000,1300000,2960,419800,103800,POV: when you discovered cinnamon french toast rolls and never looked back 🍯',La dolce vita (In via Veneto) - Remastered 2017,Cinnamon French Toast Rolls 🍞 Craving a delicious dessert? Look no further than these Cinnamon French Toast Rolls! 😋💓 Ingredients👇🏻 Cinnamon Butter Mixture:  - 35g butter 🧈  - 25g brown sugar 🍭  - 1/2 tbsp cinnamon powder ✨ Wet Mixture: - 1  egg 🥚  - 1/2 cup of milk 🥛  - 1/4 tsp vanilla extract 🍨 Cinnamon Sugar Mixture:  - 3 tbsp sugar 🍭 - 1/2 tbsp cinnamon ✨ Optional: -Nutella - Sugar icing  ,faceless,english,video,#cinnamonfrenchtoastrolls #cinnamonfrenchtoaststicks #cinnamonfrenchtoast #cinnamonfrenchtoastrecipe,,me',3,,,#caesarsalad,3,,,,,"minutes,",27
jello,https://www.tiktok.com/@jello/video/7021917718207057157,18000000,142000,449,7594,13600,Cemetery Dirt Cups',original sound,"With these dirt cups, it’s always bones day 🦴",faceless,english,video,N/A,,me:,3,,,#cheflife,3,,,,,some,27
Maja✨,https://www.tiktok.com/@majasrecipes/video/7452159412241829126,17900000,1400000,7287,454900,89900,100',Come On Eileen - Single Edit,"day 100/100: CREAMY RED PEPPER PASTA🔥✨ FULL RECIPE LINKED IN BIO orr go comment on my ig post to have it sent to ur DMs❤️🥰 Always craving a quick & tasty pasta dish? You are going to LOVE my creamy red pepper pasta! Best of all, it comes together in 20 minutes—perfect for busy weeknights or lazy weekends! You have to try this creamy pasta recipe, it is sure to become your new weekly staple! Or Google “majas recipes red pepper pasta” P.S. CANNOT believe this series has come to an end, thank you for being here! & I promise to only take a couple days off & I’ll see you guys soon!  It’s been such a journey, but I am indescribably grateful for this community, love you guys so much! Stay Hungry, Maja ♥️👩🏻‍🍳  ",faceless,english,slideshow,#easyrecipe #easyrecipes #christmasdinner #christmastiktok #pastatok #pastalover #foodtok #quickrecipes #christmasfood #mealprep #gainz #creamypasta #pastarecipe,,meals,3,,,#chickenalfredo,3,,,,,them,27
Yummy Little Belly,https://www.tiktok.com/@yummy_little_belly/video/7214932974075120901,17900000,483300,1063,227700,63200,4 INGREDIENTS BREAKFAST BARS!',This Will Be (An Everlasting Love),"4 INGREDIENTS BREAKFAST BARS! Ingredients  * 240g ripe banana (approx 3 medium bananas) * 120g porridge oat (1 1/2 us cups) * 2 big tablespoons smooth peanut butter (or the nut butter you like) (1/2 us cup) * Big handful of chocolate chips (optional-avoid for younger babies)** **can be substituted with a handful of blueberries, raspberries or chopped strawberries! 🍓🫐 Method  1. Preheat oven to 180°C (350 degrees F) lightly freeze a baking dish or line it with parchment paper. 2. Smash the banana, then add all the rest of the ingredients and mix well. 3. Bake for 35 to 40 minutes, or until golden brown. 4. Allow to cool completely before slicing into bars. 👶🏻 Suitable from 6+ months (avoid chocolate for younger babies) ❄️ Store in the fridge for 3 days or freeze up to 3 months. ",faceless,english,video,#babyledweaning #babyfood #breakfast #kidsbreakfast #kidssnack #healthyfood #healthybreakfast #blwideas #blwrecipes #blwinspiration #toddlerlife #toddlerbreakfast #toddlerrecipes #healthybreakfast #snack #healthysnack #carros #babyledeating #breakfastbar #firstfoods #whatmytoddlereats #whatmybabyeats #blwjourney #banana #chocolate #ricetteperbambini #easysnack #motherhood,,new,3,,,#chickenrecipe,3,,,,,"bowl,",26
Ersin Gündüz Cake Studio,https://www.tiktok.com/@ersingunduzcakestudio/video/7326183847488507142,17900000,562800,2603,15700,1229,CAKE OR REAL?',orijinal ses,Yeni oyun geldi 🥳😊 Tahmin skorlarını alalım 🥳🥳 ,faceless,english,video,#cakeorreal #game #realisticcakes,,on,3,,,#chocolatechip,3,,,,,get,26
Shoroq.kitchen,https://www.tiktok.com/@shoroq.kitchen/video/7345446327129558274,17800000,82200,453,28600,16200,"صيام"" ""فطور",الصوت الأصلي,وصفة كلها خير مع @نادك  Nadec  #نادك_كله_خير  : ورنا ابداعك باستخدام ٣ من منتجات نادك لوصفه غنيه وسريعه وانضم لتحدي نادك كله خير #نادك_كله_خير  : وصفة سهله ولذيذه  🌙,faceless,arabic,video,#وصفات #طبخ #وصفات_سهله #وصفات_رمضان  اعلان #نادك_كله_خير ,,or,3,,,#chocolatechipcookies,3,,,,,together,26
Jo and Bart,https://www.tiktok.com/@joandbart/video/7444603043418574102,17700000,600700,983,171600,61000,Creamy Garlic Pasta',Rockin' Around The Christmas Tree,"Creamy Garlic & Parmesan Pasta🧄🧀 As simple as it sounds, but soooooo delicious! This recipe is perfect if you're running out of time, need something easy to do but very tasty! The creaminess is so comforting, you won't get enough of it!😋 Ingredients: Pasta Butter Garlic Chicken broth Milk  Salt & pepper Parmesan cheese Parsley Bon appétit👌✨ Full measurements and instructions are in our Ultimate One Pot Cookbook 🔥  ",faceless,english,video,N/A,,overnight,3,,,#chocolatelover,3,,,,,8,25
The Golden Balance,https://www.tiktok.com/@thegoldenbalance/video/7461329381114383658,17500000,1400000,3715,532300,192200,Crispy Beef Tacos,Cancion Del Mariachi,The Final Meal 🥲 - Crispy Beef Tacos 🥺,face,english,video,N/A,,pie,3,,,#christmas,3,,,,,beef,25
Baiti ana,https://www.tiktok.com/@baiti_ana/video/7261704702511942917,17500000,255300,704,57600,42100,Watermelon Sticks,Pretty (Sped Up),#watermelon #watermelonsticks #hack #watermelon🍉 ,faceless,english,video,#watermelon #watermelonsticks #hack #watermelon🍉 ,,pie',3,,,#christmasdinner,3,,,,,diced,25
Keri Trbovich,https://www.tiktok.com/@thebunnedbaker/video/7260830108947123499,17500000,332300,792,62000,8906,How to wrap a Cupcake Bouquet',original sound,#cupcakebouquet #bouquetcupcakes #floralcupcaketutorial #dyi #howto #foryou ,faceless,english,video,#cupcakebouquet #bouquetcupcakes #floralcupcaketutorial #dyi #howto #foryou,,pizza,3,,,#christmasfood,3,,,,,no,25
Petya Marinova,https://www.tiktok.com/@recipe_road/video/7445342066311171361,17400000,762500,1441,330300,192500,Nacho cheese Chicken Slider buns,original sound,"Nacho cheese chicken slider buns The full recipe + macros is available on my recipe club platform ( meal plan week 39) the link for this is in my bio There are over 190 pdf recipe cards, all available for you to choose from! It's literally better than an ebook as I post 20 new recipes each month, most of which are completely exclusive to my recipe club platform and can't be found anywhere else! All recipes come with their own little easy to read pdf recipe card with ingredients, method, macros and a photo. You can save / screenshot and / print them too! It's such a nice way to have and keep all my recipes in one place. There is an option to purchase individual recipes from my platform without subscribing to my platform. All you have to do is click on the link in my bio, which will take you to my platform, then go to week plan 39 and you will see the specific recipe with an option to purchase. However it does work out more cost effective to pay the membership fee, you can cancel whenever you want, there are no cancellation fees or contracts. If you're looking for meal Inso, please check out my WithMe recipe platform - linked in my bio! 💕 ",faceless,english,video, #meals #mealplan #chickensandwich #chickensliders #easyrecipe #foodlover #cheesepull #slidersrecipe,,pudding,3,,,#christmastiktok,3,,,,,not,25
Karen’s Cooking,https://www.tiktok.com/@karens_cooking/video/7167116546349796650,17400000,2100000,5379,108000,15700,"Friendsgiving, but one of your friends is a professional chef",Made You Look,Not pictured: honey butter biscuits & truffle potato gratin 🦃🤎  ,face,english,video,#friendsgiving #chef #dinner #thanksgiving #foodies #foodtiktok,,recipe',3,,,#cocacola,3,,,,,shredded,25
jello,https://www.tiktok.com/@jello/video/7016417170389339397,17400000,176600,664,7438,14900,Oozing Brain 🧠',original sound,BRAINZZZ 🧠 ,faceless,english,video,#halloweentok #spookyrecipes #jellobrain #halloweenrecipe,,recipes',3,,,#cookingtiktok,3,,,,,small,25
Gimme Delicious,https://www.tiktok.com/@gimme.delicious/video/7357414007793323306,17300000,936600,4126,533800,163500,The best cinnamon rolls you will ever make,Aesthetic,"✨Learn how to make the BEST soft & gooey cinnamon rolls made tik-tok style with heavy cream. These cinnamon rolls with cream cheese frosting are a fan faovrite and will become your go-to cinnamon rolls! FULL RECIPE AT GIMMEDELICIOUS.COM (link in bio!) Ingredients For the dough: ¾ cup warm milk 2 ¼ teaspoons quick rise or active yeast 1/4-ounce package yeast ¼ cup granulated sugar ¼ cup butter melted 1 egg 2 ¾ cups all-purpose flour plus more if needed 1/2 teaspoon salt For the filling: 1 cup brown sugar light or dark 2 tablespoons ground cinnamon ½ cup butter softened or almost melted 1 cup heavy cream DO NOT MIX INTO FILLING For the cream cheese frosting: 4 oz cream cheese softened 4 tablespoons butter softened 1 cup powdered sugar 1 teaspoon vanilla extract Instructions To Make Dough: Warm milk in the microwave for 30 seconds, to just about 110F. Transfer warm milk to a large bowl or in the large bowl of a stand mixer fitted with the dough hook. Sprinkle yeast on top. Stir milk and yeast until yeast is mostly dissolved. Add Sugar, butter, egg, flour, and salt. Knead dough on medium speed for 3-4 minutes. The dough might seem wet at first but will become less sticky as you knead it. The dough should be soft, elastic, tacky and smooth. If the dough is still too wet, add another 1-2 tablespoons of flour. Alternatively, this can be done by hand. Grease prepared dough with oil and cover with plastic wrap or kitchen towel. Allow to rise for about 30 minutes or until almost doubled in size. To Make Filling: While the dough is rising, prepare the filling. In a medium bowl, combine the softened butter, brown sugar, and cinnamon (DO NOT add heavy cream). Mix until well combined; set aside. Once the dough has doubled in size, transfer it to a well-floured surface and Roll it into a 9x14-inch rectangle using a rolling pin. Spread filling over dough, leaving about 1/4 inch border all around the outside of the dough. Starting with the 14’’ side, tightly roll into a log and place the seam down to ensure it’s sealed. Cut the dough into 4 equal segments then cut each segment into 3 rolls, about 1 inch each. You should end up with about 12 equal slices. Place the rolls in a buttered or greased 9×13 dish. Cover with a towel to rise for 1 hour. Preheat the oven to 350F. Heat heavy cream in the microwave for 30 seconds until lukewarm. Pour heavy cream evenly over rolls and bake for 25-30 minutes or until the tops are a light golden brown. To make the frosting: While the rolls are cooling, in the bowl of an electric mixer or by hand, combine the cream cheese, butter, powdered sugar, and vanilla extract. Beat until smooth and fluffy. Spread onto the warm rolls and enjoy! ",faceless,english,video,#gimmedelicious #cinnamonrolls #baking #cinnabun #recipes ,,rice,3,,,#creatorsearchinsights,3,,,,,best,24
Lorraine,https://www.tiktok.com/@healthyfitbella/video/7210812940860083461,17300000,1200000,4140,518700,270500,Airfyer Recipe Series part4/cheat's garlic bread',Green Green Grass (Sped-Up),Airfryer Cheat’s Garlic Bread…  ,faceless,english,video,#airfyer #airfryerrecipes #airfry #airfryergarlicbread #airfryerseries,,salad',3,,,#desserttiktok,3,,,,,enjoy!,24
Petre-Andrei,https://www.tiktok.com/@petre.andrei.catana/video/7367420711729679649,17200000,2200000,10100,194200,113700,making coke (CocaCola) from scratch',Nutcracker Waltz of the Flowers,i have some friends for dinner and i want to impress them  ,face,english,video,#cocacola #homemade #softdrink,,salt,3,,,#dumplings,3,,,,,heavy,24
C O U R T N E Y,https://www.tiktok.com/@courtneyhernandezz/video/7371676331744054571,17100000,1500000,2486,490500,177500,Hot Honey Tenders w/ Mac & Cheese,love nwantinti (ah ah ah),Hot Honey Tenders w/ Mac & Cheese 🤤 This was soooooo good!,faceless,english,video, #hothoney #hothoneychicken #chickentenders #macandcheese #friedchicken #homemade #dinner #dinnerideas #dinnerwithme #dinnertime #cookingformyhusband #bluecollar #bluecollarboys #bluecollarbabe #bluecollarwife #sahw #fyp #fypシ #fypage #fypシ゚viral ,,sandwich,3,,,#egg,3,,,,,love,24
Zoe🐇,https://www.tiktok.com/@zoetheolive/video/7249721139340119302,16900000,2200000,16900,231500,211500,carbo noodles',original sound,carbo noodles + tteokbokki + enoki mushrooms🍜🧎‍♀️TOO GOOD ,faceless,english,video,#carbonoodles #buldakramen #tteokbokki #enokimushroom #ramen ,,series,3,,,#foodcritic,3,,,,,minced,24
Food Fetish,https://www.tiktok.com/@foody.fetish/video/7331915318987607338,16800000,612500,1420,279900,70100,Crunch wrap supreme',Good Energy,At home crunchwraps 🤩  ,faceless,english,video,#foodie  #foodtiktok #fyp #food #hungry #dinnerideas #breakfast #breakfastideas #goodeats #satisfying #starving #recipes #foodtok #dinner #lunch #lunchideas #goodfood #foodtok #recipe #trending ,,snack,3,,,#foodnetwork,3,,,,,mixture,24
Sheri Wilson,https://www.tiktok.com/@sheri_wilson_/video/7408709292091641130,16800000,1500000,7008,301600,132300,spooky spiderwebs 🎃🕸️,Halloween ・ cute horror song,Spooky Spiderwebs 🕸️🍫  ,faceless,english,video,#halloween #halloweentok #halloweenideas #spookyseason #halloweenvibes,,soup',3,,,#foodphotography,3,,,,,"onion,",24
Юлия ✨ готовим вместе!,https://www.tiktok.com/@yulianna_food/video/7022658762355789057,16700000,389300,1553,107500,35800,Вкусный перекус',"Spooky, Scary Skeletons",Очень вкусный и быстрый перекус ,faceless,russian,video,#бутерброд #вкусноибыстро #перекус #готовимдома #рецептза5минут,,spicy,3,,,#friedchicken,3,,,,,tomato,24
KWOOWK with Kevin,https://www.tiktok.com/@letskwoowk/video/7218243656786906374,16600000,1400000,1527,102000,9377,Ratatouille,original sound,I want a pet rat.  ,faceless,english,video,#ratatouille,,sugar,3,,,#funny,3,,,,,aside.,23
wellnessbykay,https://www.tiktok.com/@wellnessbykay/video/6982550879643651334,16600000,1900000,5445,296800,188900,avocado corn salad 😍🌽,Cookie,light & easy avo corn salad ! full recipe on my blog✨🥰 ,faceless,english,slideshow,#healthy #saladrecipe #healthyrecipe #healthyfood #easyrecipe #summersalad #avocado #cornsalad,,tacos,3,,,#fy,3,,,,,before,23
DoctorBowl EasyHealthy Recipes,https://www.tiktok.com/@doctorbowl/video/7474716639641062678,16500000,673400,3998,423100,99600,a doctor's favourite lunch',Call Me When You Break Up,"RECIPE BELOW👇🏽  The base of crispy smashed potatoes has transformed my life… you HAVE to make it!! ✅ So EASY and quick  ✅ Packed full of nutrition  ✅ Gluten free  ✅ So versatile - use any veggie you have!  Enjoy! DB x INGREDIENTS  ▪️5 potatoes ▪️Large handful of spinach, chopped ▪️1/2 yellow pepper, chopped ▪️Handful of cherry tomatoes, halved ▪️3 eggs  ▪️1/2 cup milk  ▪️Handful of cheese  METHOD  ▪️Preheat oven to 200c ▪️Boil your potatoes until soft  ▪️Prepare your 9 inch dish. Add potatoes to the dish and smash them so you sore as and cover the dish ▪️Drizzle some oil over the potatoes and season with salt and pepper  ▪️Add the spinach, pepper and tomatoes  ▪️Mix the eggs with the milk and pour the mixture over the vegetables. ▪️Top with cheese and bake for 25-30 minutes   ",faceless,english,video,#potatoes #healthyrecipes #easyrecipes #lunch #lunchideas,,tenders,3,,,#grilledchicken,3,,,,,bio,23
Isabel Eats,https://www.tiktok.com/@isabeleatsblog/video/7424530609608920363,16500000,60800,132,13900,9780,make these easy beef tinga',original sound,"#SARGENTOpartner ✨ These easy Beef Tinga Sliders made with smoky chipotle shredded beef tinga and Sargento® Sliced Pepper Jack Natural Cheese, Shredded Whole Milk Mozzarella, and Shredded Parmesan is the perfect comfort food dinner turned game day snack. Easy to make and perfect for sharing so you have more time to spend with family and friends 🥰 Here’s how to make them: ▪️ 2 lbs beef chuck roast, cut into large chunks ▪️ 2 tsp kosher salt ▪️ 1 tsp ground black pepper ▪️ 15 oz fire-roasted diced tomatoes ▪️ 3 chipotles in adobo sauce, plus 1 tbsp of adobo sauce ▪️ 1 diced white onion ▪️ 3 cloves garlic ▪️ 2 tsp dried oregano ▪️ 24 dinner rolls/slider buns ▪️ 12 slices Sargento® Sliced Pepper Jack Natural Cheese ▪️ 1 cup Sargento® Shredded Whole Milk Mozzarella (Low Moisture Mozzarella) Natural Cheese ▪️ 2 tbsp melted butter ▪️ 1 tbsp minced fresh parsley ▪️ 2 tbsp Sargento® Shredded Parmesan Natural Cheese 1️⃣ Season the beef with the salt and black pepper on all sides. Transfer to a slow cooker. 2️⃣ Blend the tomatoes, chipotle peppers in adobo sauce, onion, garlic, and oregano in a large blender until smooth. 3️⃣ Pour the sauce into the slow cooker and stir to coat the beef. Cover and cook on high for 5 hours or on low for 7-8 hours until fork tender. 4️⃣ Transfer the beef to a bowl, shred it with two forks, then add it back into the slow cooker or stir in some of the tinga sauce. 5️⃣ Slice the slider buns in half and place the bottom half on a large baking sheet lined with parchment paper. Place 6 slices of Sargento® Sliced Pepper Jack Natural Cheese on the buns, then spread the shredded beef tinga mixture over the cheese. Sprinkle the Sargento® Shredded Whole Milk Mozzarella Natural Cheese over the beef, then top with the remaining 6 slices of Sargento® Sliced Pepper Jack Natural Cheese. Place the top of buns, cut-side down, over the sliders. 6️⃣Mix together the melted butter and parsley in a small bowl, then brush the tops of the buns with the mixture. Sprinkle the tops with Sargento® Shredded Parmesan Natural Cheese. 7️⃣ Bake at 350˚F for 12-15 minutes, or until cheese is melted and tops are golden brown. ",faceless,english,video,#SARGENTOpartner #ad #SARGENTOcheese #dinnerideas #sliders ,,teriyaki,3,,,#healthycooking,3,,,,,combine,23
Butter Dawg,https://www.tiktok.com/@_butter_dawg_/video/7468842657943506206,16400000,253200,4534,12300,51900,How to make Chicken!',TEXAS HOLD 'EM,N/A,face,english,video,N/A,,that,3,,,#healthysnacks,3,,,,,onions,23
Toni Chapman,https://www.tiktok.com/@themoodyfoody/video/7311831168318590254,16400000,1400000,4950,752600,175300,Ham & Cheese Crossiant Bake,L O V E,"oh, this crossiant bake with ham & cheese is delicious! perfect for christmas day or a holiday brunch! How I love a beautiful brunch/ holiday appetizer little moment ❤️ and she’s family friendly? Please! I’ll take two ❤️ ",face,english,video,#holidayrecipes #appetizers #christmas,,therapy,3,,,#highproteinrecipes,3,,,,,oz,23
Food.Home 🥘🥞🥗,https://www.tiktok.com/@food.home0/video/7317617878079966496,16400000,354100,4096,118600,41400,Add vinegar to boiled milk!',original sound,Do not buy from the market anymore,faceless,english,video,N/A,,tiramisu,3,,,#holidayrecipes,3,,,,,pinch,23
Petre-Andrei,https://www.tiktok.com/@petre.andrei.catana/video/7417788321117523233,16400000,364600,14700,32300,11500,chocolate Dubai cake',sonido original,so good ,face,english,video,#chocolate #dubai #cake ,,toast,3,,,#hotdog,3,,,,,will,23
Jo and Bart,https://www.tiktok.com/@joandbart/video/7434501804143955233,16300000,629400,1461,237500,98500,Goat Cheese Pasta,Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit),"Goat Cheese Pasta 🤤 Maybe you’re more used to goat cheese on toast with a little honey, but this recipe will make you want to enjoy it with pasta more often. Ingredients: Linguine Bacon Goat cheese Heavy cream Onion Honey Thyme Salt & pepper Bon appétit! ❤️ Full recipe is in our Ultimate Pasta Cookbook! ✨ ",faceless,english,video,#food #pasta #love,,try,3,,,#howto,3,,,,,cooking,22
iramsfoodstory,https://www.tiktok.com/@iramsfoodstory/video/7489548799975705899,16300000,1700000,3348,484800,198000,RAISING CANE'S CHICKEN FINGERS with raising cane's sauce.',original sound,"Raising Cane’s-Style Chicken Fingers With Cane’s Sauce. Ingredients: For the Chicken: - 2 lb chicken breast, cut into strips - Oil for frying For the Wet Batter: - 2 cups buttermilk - 2 tbsp garlic powder - 1 tbsp black pepper - Salt to taste - 1 tbsp smoked paprika For the Dry Batter: - 2 cups all-purpose flour - 3 tbsp cornstarch - Salt to taste - 1 tbsp garlic powder - 1 tsp black pepper - 1 tsp smoked paprika For the Cane’s Sauce: - 1 cup mayonnaise - 4 tbsp ketchup - 2 tbsp Worcestershire sauce - 1 tbsp garlic powder - 1 tsp black pepper - Salt to taste - 1 tsp smoked paprika Instructions: 1. Prepare the wet batter by whisking together buttermilk, garlic powder, black pepper, salt, and smoked paprika. Add the chicken strips to the wet batter and marinate for at least 2 hours or overnight. 2. Prepare the dry batter by whisking together flour, cornstarch, salt, garlic powder, black pepper, and smoked paprika. 3. Remove the chicken from the wet batter, allowing excess to drip off, then coat each strip in the dry batter. 4. Deep-fry the coated chicken strips in hot oil (about 350°F) until golden brown and cooked through, approximately 8-10 minutes, flipping halfway through. 5. Prepare the Cane’s Sauce by whisking together mayonnaise, ketchup,Worcestershire sauce, garlic powder, black pepper, salt, and smoked paprika. 6. Serve the crispy chicken fingers with Cane’s Sauce.  ",faceless,english,video,#canessauce #raisingcanes #friedchicken #chickentenders #recipe,,tu,3,,,#italian,3,,,,,delicious,22
RecipesByAnne,https://www.tiktok.com/@recipesbyanne/video/7254942220401282330,16200000,1000000,946,406000,71300,30 days of budget dinner recipes Day 8/30',Sunshine,"Experience the perfect harmony of tender pasta, juicy chicken, and a rich parmesan and pesto sauce, all cooked together in a single pot. Ingredients: 1 bsp olive oil 400g chicken breasts 1 tbsp unsalted butter 4 garlic cloves - minced 600ml chicken stock 200ml heavy cream 200g broccoli 250g uncooked pasta  2 tbsp basil pesto 100g parmesan cheese 1 tsp salt  1/2 tsp ground black pepper fresh basil to serve Full instructions are on my blog. ",faceless,english,video, #easyrecipe #easydinner #onepanmeal #onepandinner #cooking #chickenrecipe,,two,3,,,#japanesefood,3,,,,,golden,22
Magickitchen38,https://www.tiktok.com/@magickitchen38/video/7328823331602402593,16200000,757700,14700,52600,5743,Spaghetti tomate Pimentée😱😱',son original,#pourtoi #magickitchen38 #cuisine #chefcuisinier #astuce #idéerecette #astucecuisine #pate #pasta ,face,french,video,#pourtoi #magickitchen38 #cuisine #chefcuisinier #astuce #idéerecette #astucecuisine #pate #pasta ,,w/,3,,,#kahvaltı,3,,,,,heat.,22
BakesByBee,https://www.tiktok.com/@bakesbybee/video/7079371471369374981,16200000,2900000,22800,194100,45500,Desert Views,Chercher L'Argent,What a view to wake up to 😍 ,face,english,video,#jordan #wadirum #fyp #fypシ,,we're,3,,,#kinderbueno,3,,,,,hot,22
Days with Dae,https://www.tiktok.com/@dabrionne/video/7411934486910242078,16100000,198100,235,30700,9852,#HellmannsPartner Buffalo Chicken Dip,Tropical Haze,"Football Sunday calls for buffalo chicken dip made with @Hellmann’s Mayonnaise. It is creamy, cheesy, and super easy to make. Be sure to grab all of your ingredients from Walmart through the link in my bio! #HellmannsPartner  Directions: Preheat the oven to 375. Toss chicken with cayenne pepper sauce. Stir in the remaining ingredients except blue cheese. Spoon into 1-1/2-quart shallow casserole, then sprinkle with blue cheese. Bake uncovered for 20 minutes or until bubbling. Serve, if desired, with celery and/or your favorite dippers.",faceless,english,video,#HellmannsPartner,,which,3,,,#kochen,3,,,,,once,22
