Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
Patrick Zeinali,https://www.tiktok.com/@patrickzeinali/video/7467628698179472670,61000000,426300,2449,59100,16700,Blondie Chocolate Cups',original sound,#ad @Chips Ahoy! Did it again with these baked bites ,faceless,english,video,#chocolate #cake #easyrecipe,,a,17,,,#foryou,30,filipino,1,,,2,225
Gordon Ramsay,https://www.tiktok.com/@gordonramsayofficial/video/7437189407301586208,53700000,9600000,34500,457700,555300,OOPS,Dramatic Sad Violin,Oops.,face,english,video,N/A,,with,17,,,#foryoupage,30,finnish,1,,,add,206
My Nguyen,https://www.tiktok.com/@myhealthydish/video/7039907428531440902,53300000,6100000,21600,192700,61800,Which TikTok video took you the longest to make in 2021?',original sound,Answer @TikTok it took my 3 weeks ro make chocolate from the Cacao #chocolate,face,english,video,#chocolate,,#VALUE!,14,,,#asmr,25,language,1,,,cup,189
Andy Cooks,https://www.tiktok.com/@andy_cooks/video/7200326304896503041,49200000,4500000,7579,320100,38300,CHILLI OIL NOODLES,Boy's a liar Pt. 2,"Chilli oil noodles 🍜  Ingredients - 280g flour - 160g warm water - A pinch salt - 3 tbsp veg oil - 2 cloves garlic, minced - 2 spring onions finely sliced - 1 tsp chilli flakes - 0.5 tsp cumin seeds - 0.5 tsp Szechuan peppercorns Method 1. Start by making the dough. In a mixing bowl place the flour and salt. Make a well in the centre and pour in the water. 2. Mix until it comes together and you have a shaggy dough. Then turn it out and knead for 6-7 minutes or until you have a smooth dough. 3. Cut into 4 pieces and roll into rounds. 4. Pour 0.5 tsp of oil into a bowl and place the dough ball into it, cover and let rest for 1 hour. 5. When ready, place a large pot of salted water on to boil, and the remainder of the oil in a small pot to heat. 6. Working with one dough ball at a time, flatten it out then make a divot in the centre with a chopstick. Then grab each end and pull to stretch it. Once you have pulled it to around 1 metre, tear the strip in half. 7. Place the pulled noodles into the boiling water and cook for 3-4 minutes. 8. Place the garlic, spring onions, chilli, cumin and Szechuan peppercorns into your bowl. 9. Carefully pour the hot oil over the spices and veg in the bowl before adding in the cooked and drained noodles. Give them a mix and you are good to eat. ",faceless,english,video,#cooking #food #noodles #food #asmr #asmrfood #viraltiktok #fyp ,,cake,14,,,#foodtiktok,22,malay,1,,,until,179
Bernard,https://www.tiktok.com/@bernardh14/video/7388535921794108715,48600000,4200000,52100,294100,559400,Best Fried Chicken In The World,original sound,Best fried chicken in the world ‼️‼️🤠🤠,face,english,video,#foryou #fypシ゚viral #explorepage #viral #foryoupage #foodchallenge #explorepage✨ #foodphotography #foodie #chef #asmr #foodcritic #outdoorcooking #foodtiktok #cheflife #tiktok #explore #foodnetwork ,,how,14,,,#recipes,22,portuguese,1,,,on,172
RecipesByAnne,https://www.tiktok.com/@recipesbyanne/video/7231198834771168538,47500000,3700000,4557,1100000,181600,30 DAYS OF ONE PAN RECIPES Day 12/30',Best Time,Another gnocchi recipe 🤤 ,faceless,english,video,#onepandinner #onepanmeal #recipesoftiktok #easyrecipe #gnocchi ,,in,14,,,#dinnerideas,21,swedish,1,,,tsp,169
yujung | @_yu.jung,https://www.tiktok.com/@_yu.jung/video/7341232917756038443,44800000,5400000,16500,767300,105300,toast cookies 🍞',What You Won't Do for Love,butter toast cookies 2.0 🍞🧈 recreated my butter toast cookies from 2022 but made them even better with a brown butter toast crust !  details: mini toast shaped butter cookies with a brown butter toast crust & mini butter on top ,faceless,english,slideshow,#toast #butter #bread #cookies #buttercookies #brownbutter #baking #homebaking #dessert #aesthetic #cute #baketok #homecafe #베이킹 #홈베이킹 #버터 #토스트 #빵 #쿠키 #버터쿠키 ,,pasta,14,,,#fypシ,21,video,1,,,you,164
Juliette,https://www.tiktok.com/@itsmeju1iette/video/7463149109839416622,43200000,6800000,20400,304400,887000,teddy bear cookie 🐻🎀😊',STRIPPING IN THE CLUB HNM MEGAMIX,teddy bear vs oven 👀😳  ,faceless,english,video,#trending #viral ,,this,13,,,#mealprep,21,,,,,chicken,163
Chef Genevieve LaMonaca,https://www.tiktok.com/@chefgenevieve/video/7087301145177230634,41800000,3400000,18200,315300,67500,Potato Sticks,My Name Is,What should I call this? ,face,english,video,#asmr #food #cooking,,your,13,,,#pasta,21,,,,,or,156
miralux07,https://www.tiktok.com/@miralux7/video/7190769208685235461,41600000,1700000,2456,237800,80800,Cannelloni Part 1,Baby Calm Down,Cannelloni ,faceless,english,video,#cannelloni #canneloni #pasta #lasagna #lasagne #viral #explore #rezept #recipe #rezepte #recipes #schnellerezepte #essen #kochen #abendessen #mittagessen #fyp #fürdich #kitchen #miralux07 #hackfleisch #mozzarella #cheese #mincedmeat #meat #bolognese ,,is,12,,,#chocolate,20,,,,,tbsp,150
